Time resolution is 1 ps
Time: 375000 | rd_en: 1 | fifo_dout: 14 | data_out: 14 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:  11
Time: 380000 | rd_en: 1 | fifo_dout: 15 | data_out: 14 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:  11
Time: 385000 | rd_en: 0 | fifo_dout: 15 | data_out: 14 | fire: 0 | data_out_clk: 0 | reading: 0 | read_count:   0
Time: 615000 | rd_en: 0 | fifo_dout: 15 | data_out: 14 | fire: 1 | data_out_clk: 0 | reading: 0 | read_count:   0
Time: 625000 | rd_en: 0 | fifo_dout: 15 | data_out: 14 | fire: 0 | data_out_clk: 0 | reading: 0 | read_count:   0
Time: 665000 | rd_en: 0 | fifo_dout: 15 | data_out: 14 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   0
Time: 675000 | rd_en: 1 | fifo_dout: 15 | data_out: 15 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   1
Time: 680000 | rd_en: 1 | fifo_dout: 16 | data_out: 15 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   1
Time: 685000 | rd_en: 1 | fifo_dout: 16 | data_out: 16 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   2
Time: 690000 | rd_en: 1 | fifo_dout: 17 | data_out: 16 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   2
Time: 695000 | rd_en: 1 | fifo_dout: 17 | data_out: 17 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   3
Time: 700000 | rd_en: 1 | fifo_dout: 18 | data_out: 17 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   3
Time: 705000 | rd_en: 1 | fifo_dout: 18 | data_out: 18 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   4
Time: 710000 | rd_en: 1 | fifo_dout: 19 | data_out: 18 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   4
Time: 715000 | rd_en: 1 | fifo_dout: 19 | data_out: 19 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   5
Time: 720000 | rd_en: 1 | fifo_dout: 1a | data_out: 19 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   5
Time: 725000 | rd_en: 1 | fifo_dout: 1a | data_out: 1a | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   6
Time: 730000 | rd_en: 1 | fifo_dout: 1b | data_out: 1a | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   6
Time: 735000 | rd_en: 1 | fifo_dout: 1b | data_out: 1b | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   7
Time: 740000 | rd_en: 1 | fifo_dout: 1c | data_out: 1b | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   7
Time: 745000 | rd_en: 1 | fifo_dout: 1c | data_out: 1c | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   8
Time: 750000 | rd_en: 1 | fifo_dout: 1d | data_out: 1c | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   8
Time: 755000 | rd_en: 1 | fifo_dout: 1d | data_out: 1d | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   9
Time: 760000 | rd_en: 1 | fifo_dout: 1e | data_out: 1d | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   9
Time: 765000 | rd_en: 1 | fifo_dout: 1e | data_out: 1e | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:  10
Time: 770000 | rd_en: 1 | fifo_dout: 1f | data_out: 1e | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:  10
Time: 775000 | rd_en: 1 | fifo_dout: 1f | data_out: 1f | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:  11
Time: 780000 | rd_en: 1 | fifo_dout: 20 | data_out: 1f | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:  11
Time: 785000 | rd_en: 0 | fifo_dout: 20 | data_out: 1f | fire: 0 | data_out_clk: 0 | reading: 0 | read_count:   0
